,word,allMoviesCount,%used,actionCount,scifiCount,horrorCount,comedyCount,dramaCount,fantasyCount,thrillerCount,actionRelativeUsage,scifiRelativeUsage,horrorRelativeUsage,comedyRelativeUsage,dramaRelativeUsage,fantasyRelativeUsage,thrillerRelativeUsage
0,murder,1050,0.4845408398707891,524.0,253.0,200.0,146.0,331.0,129.0,562.0,1.47017396668723,1.089164324048045,1.3624678663239074,0.33217008504252127,0.82987210584344,0.579138630089717,1.6146405559065065
1,death,1030,0.47531149053991695,482.0,259.0,189.0,148.0,370.0,162.0,505.0,1.3423980404164115,1.1366213527851459,1.300233644859813,0.3421982714794103,0.9643323782234958,0.750751352434382,1.4265465838509317
2,violence,938,0.43285648361790496,509.0,239.0,169.0,147.0,287.0,134.0,441.0,1.6336852505292871,1.1539230182976479,1.2744735344336937,0.3758043844856661,0.796385600976205,0.6767840967908902,1.3506181818181817
3,blood,908,0.41901245962159667,405.0,213.0,223.0,122.0,322.0,120.0,448.0,1.2720580110497237,1.0578638434735996,1.8127300613496933,0.32054072790294624,0.9565355976485957,0.626709149752879,1.4501807829181494
4,flashback,828,0.38209506229810797,341.0,197.0,125.0,199.0,296.0,150.0,340.0,1.1865860749808723,1.1058413674540484,1.0874917925147733,0.6246045548654244,0.995715976331361,0.9062808382190747,1.1822018348623853
5,title spoken by character,821,0.3788647900323027,305.0,189.0,87.0,270.0,293.0,142.0,300.0,1.0828571428571427,1.101943725565773,0.7690126751167445,0.9331003039513677,1.0305986078886311,0.890029708137621,1.060964230171073
6,pistol,793,0.3659437009690817,483.0,214.0,108.0,145.0,205.0,64.0,439.0,1.8695182978723406,1.2070926303613283,0.9232258064516129,0.43586252478519494,0.6416655196145905,0.36339170439874163,1.6378769483182938
7,explosion,781,0.3604060913705584,518.0,280.0,86.0,157.0,176.0,135.0,366.0,1.9632199999999997,1.5859634107200173,0.6982230392156863,0.4574221652786675,0.5190972762645915,0.7718558598148809,1.231189349112426
8,bare chested male,779,0.35948315643747114,328.0,176.0,121.0,206.0,269.0,100.0,303.0,1.2695693617021278,1.0802785759831728,1.1600940665701882,0.7223500385505012,0.9914197730956241,0.6450979784519714,1.1483700000000001
9,surprise ending,778,0.35902168897092757,377.0,221.0,176.0,147.0,213.0,123.0,389.0,1.3511394799054373,1.2631979949874685,1.586394557823129,0.44600133422281524,0.6760111653872993,0.730951497330783,1.4074558472553702
10,father son relationship,732,0.3377941855099216,233.0,145.0,79.0,230.0,311.0,141.0,219.0,0.9419413333333333,0.9736463042316297,0.8184128225175918,0.9273404255319149,1.3509340974212034,1.0486049087206604,0.8744618086040385
11,husband wife relationship,731,0.33733271804337794,208.0,121.0,90.0,217.0,334.0,98.0,273.0,0.8349373345101501,0.8078292199603676,0.9532374100719424,0.8780391459074733,1.5084726911618669,0.7135728193827462,1.162550561797753
12,chase,712,0.32856483617904936,408.0,223.0,101.0,179.0,153.0,149.0,319.0,1.6508754448398577,1.387583844726702,0.9351851851851852,0.6016940133037694,0.504600435097897,0.9750961467928364,1.196052761747733
13,shot in the chest,681,0.3142593447161975,438.0,183.0,98.0,100.0,187.0,78.0,393.0,1.9172512030798843,1.1518895324150347,0.9416243654822335,0.3302832244008715,0.6592837209302326,0.5046150977406222,1.6488597785977859
14,shot to death,678,0.3128749423165667,415.0,178.0,104.0,90.0,200.0,66.0,400.0,1.8183236994219651,1.1371135531135532,1.0214974054855448,0.3003081438004402,0.7259377494014366,0.4306761543525281,1.7276353276353276
15,friendship,667,0.307798800184587,182.0,112.0,57.0,290.0,264.0,132.0,149.0,0.8244382470119522,0.8493912046984673,0.6689548272807794,1.4720089285714286,1.3022472885032537,1.1334873360283804,0.653473481195757
16,revenge,636,0.2934933087217351,344.0,138.0,88.0,126.0,193.0,105.0,298.0,1.6503291139240508,0.9740187022682688,0.9684385382059799,0.49146483704974275,0.7986933575978163,0.8006116992051573,1.3634849094567405
17,no opening credits,625,0.2884171665897554,298.0,194.0,70.0,148.0,218.0,160.0,226.0,1.3339606299212599,1.4108398744113029,0.7455787781350481,0.5772761578044596,0.9046204379562044,1.2548665008916686,0.9447132352941177
18,fight,614,0.2833410244577757,336.0,178.0,59.0,155.0,175.0,118.0,237.0,1.657405639913232,1.3424257224257226,0.652001668056714,0.6391115140525838,0.7349030470914129,0.9368293923213832,1.0557061704211559
19,corpse,613,0.28287955699123213,293.0,158.0,155.0,75.0,183.0,82.0,343.0,1.3379156626506024,1.1378591346761107,1.8110670194003526,0.28097199341021417,0.7525171790235081,0.6148793871498385,1.6490105708245242
